RE,IEEE CS,96,27,28.1,23,,10
FASE,ETAPS,91,25,27.5,23,,17
ICPC,IEEE CS,83,28,33.7,21,,12
ESEM ,ACM SIGSOFT/IEEE CS,109,21,19.3,20,,10
ICSA,IEEE,95,21,22.1,16,,10
CCS,ACM SIGSAC,836,151,18,71,top,12
IEEE S&P,IEEE,463,60,12.9,68,top,20
USENIX Security,USENIX,572,85,14.8,61,top,18
NDSS,Internet Society,422,68,16.1,56,top,15
CRYPTO,IACR,311,72,23,53,top,30
EUROCRYPT,IACR,264,67,29,53,top,30
ASIACRYPT,IACR,243,67,27.6,36,,30
Theory of Cryptography (TCC),IACR,150,51,34,34,,
CHES,IACR,130,33,25.4,32,,18
AsiaCCS,ACM SIGSAC,359,67,18,31,,12
Public-Key Cryptography (PKC),IACR,186,49,26,30,,30
ACSAC,ACM,244,48,19.7,29,,15
Fast Soft Encryption (FSE) (2016),IACR,91,29,31.9,28,,20
Computer Security Foundations (CSF),IEEE CS,94,32,34,23,,12
Selected Areas in Cryptography (SACrypyt),-,63,23,36.5,23,,16
STOC (2015),ACM SIGACT,347,93,26.8,56,top,14
FOCS,IEEE CS,323,90,27.8,45,top,12
SODA (2015),ACM SIGACT/SIAM,495,137,27.6,45,top,15
ICALP,-,459,137,29.8,28,,12
STACS,-,212,54,25.4,25,,12
ESA,-,271,69,25.4,23,,12
CONCUR,-,86,36,41.8,22,,14
SoCG,-,148,52,35.1,20,,15
CCC,-,98,33,33.6,19,,10
MFCS,-,192,80,41.6,18,,12
ISAAC,-,160,65,40.6,15,,12
LATIN,-,131,52,39.6,15,,12
WG,-,71,31,43.6,12,,12
WADS,-,109,49,44.9,14,,12
SWAT,-,90,30,33.3,0,,12
CVPR,CVF/IEEE CS,2680,783,29,158,top,8
ECCV,CVF,1561,415,26.6,98,top,14
ICCV,CVF/IEEE CS,2143,621,26,89,top,8
ACCV,,590,143,24,35,,14
WACV (2020),CVF/IEEE CS,1096,379,34.5,46,,9
