Gina Maira Oliveira,UFU,AI
Gisele Pappa,UFMG,AI
Giseli Lopes,DCC/UFRJ,DBIS
Gleison Santos,UNIRIO,SE
Gracaliz Dimuro,FURG,AI
Guido Araujo,UNICAMP,ARCH
Guilherme Avelino,UFPI,SE
Guilherme Barreto,UFC,AI
Guilherme Maia,UFMG,NET
Guilherme Oliveira Mota,UFABC,THEORY
Guilherme Pimentel Telles,UNICAMP,BIO
Guilherme Sousa Bastos,UNIFEI,ROBOTICS
Guilherme Travassos,COPPE/UFRJ,SE
Gustavo Batista,ICMC/USP,DATA
Gustavo Carvalho,UFPE,FORMAL
Gustavo Pavani,UFABC,ARCH
Gustavo Pessin,ITV,NET
Gustavo Pinto,UFPA,SE
Haroldo Gambini Santos,UFOP,OR
Heiko Hornung,UNICAMP,CHI
Heitor Costa,UFLA,SE
Heitor Ramos,UFAL,NET
Heitor Silverio Lopes,UFTPR,VISION
Helio Lopes,PUC-Rio,AI
Helio Pedrini,UNICAMP,AI
Heloisa Camargo,UFSCAR,AI
Hermes Senger,UFSCar,ARCH
Horacio Hideki Yanasse,UNIFESP,OR
Horacio Oliveira,UFAM,NET
Hugo Fuks,PUC-Rio,CHI
Humberto Marques,PUC Minas,NET
Ig Ibert Bittencourt,UFAL,AI
Igor Machado Coelho,UERJ,OR
Igor Moraes,UFF,NET
Igor Steinmacher,UTFPR,SE
Igor Wiese,UTFPR,SE
Ingrid Oliveira,UFRGS,SE
Isabel Rosseti,UFF,OR
Isabela Gasparini,UDESC,CHI
Islene Garcia,UNICAMP,NET
Italo Cunha,UFMG,NET
Ivan Machado,UFBA,SE
Jacir Bordim,UnB,ARCH
Jacob Scharcanski,UFRGS,AI
Jaelson Castro,UFPE,SE
Jairo Panetta,ITA,ARCH
Jano Moreira de Souza,COPPE/UFRJ,AI
Javam Machado,UFC,ARCH
Jayme Szwarcfiter,COPPE/UFRJ,THEORY
Jefersson dos Santos,UFMG,VISION
Jefferson Souza,UFU,ROBOTICS
Jeroen Graaf,UFMG,SECURITY
Jo Ueyama,ICMC/USP,NET
Joao Alcantara,UFC,AI
Joao Bertini,UNICAMP,AI
Joao Comba,UFRGS,DATA
Joao Fabro,UTFPR,AI
Joao Gluz,Unisinos,AI
Joao Marcos de Almeida,UFRN,FORMAL
Joao Paulo Almeida,UFES,DBIS
Joao Paulo Papa,UNESP,AI
Joao Paulo Pordeus Gomes,UFC,AI
Joao Paulo Silva do Monte Lima,UFRPE,VISION
Joaquim Cavalcante,UFC,AI
Joaquim Celestino,UECE,SECURITY
Joel Rodrigues,Inatel,NET
Jonathan de Andrade Silva,UFMS,AI
Joni da Silva Fraga,UFSC,SECURITY
Jonice Oliveira,DCC/UFRJ,ARCH
Jorge Luis Victoria Barbosa,Unisinos,AI
Jorge Stolfi,UNICAMP,VISION
