2015,ACM Comput. Surveys,"Trust and Reputation Models for Multiagent Systems.",PUC-PR,Jones Granatyr; Vanderson Botelho; Otto Robert Lessing; Edson Emílio Scalabrin; Jean-Paul A. Barthès; Fabrício Enembreck,http://doi.acm.org/10.1145/2816826,null,J,no_arxiv,11
2015,Sci. of Comput. Program.,"A rewriting logic semantics for NCL.",UFF,Joel André Ferreira dos Santos; Christiano Braga; Débora C. Muchaluat-Saade,https://doi.org/10.1016/j.scico.2015.04.006,null,J,no_arxiv,2
2014,IEEE Computer,"When Open Source Meets Network Control Planes.",UNICAMP,Christian Esteve Rothenberg; Roy Chua; Josh Bailey; Martin Winter; Carlos N. A. Corrêa; Sidney C. de Lucena; Marcos Rogério Salvador; Thomas D. Nadeau,https://doi.org/10.1109/MC.2014.340,null,J,no_arxiv,10
2014,Sci. of Comput. Program.,"A practical approach for testing timed deterministic finite state machines with single clock.",ICMC/USP,Khaled El-Fakih; Nina Yevtushenko; Adenilso Simão,https://doi.org/10.1016/j.scico.2013.09.008,null,J,no_arxiv,6
2014,Sci. of Comput. Program.,"A quantitative and qualitative assessment of aspectual feature modules for evolving software product lines.",UFMG; UFU,Felipe Nunes Gaia; Gabriel Coutinho Sousa Ferreira; Eduardo Figueiredo; Marcelo de Almeida Maia,https://doi.org/10.1016/j.scico.2014.03.006,null,J,no_arxiv,9
2014,Sci. of Comput. Program.,"An object-oriented parallel programming language for distributed-memory parallel computing platforms.",UFC,Eduardo Gurgel Pinho; Francisco Heron de Carvalho Junior,https://doi.org/10.1016/j.scico.2013.03.014,null,J,no_arxiv,1
2014,Sci. of Comput. Program.,"Compositionality and correctness of fault tolerant patterns in HOL4.",UFPE,Diego Machado Dias; Juliano Iyoda,https://doi.org/10.1016/j.scico.2013.07.009,null,J,no_arxiv,0
2014,Sci. of Comput. Program.,"Consistency of model transformation contracts.",UFF,Christiano Braga; Cassio Santos; Viviane Torres da Silva,https://doi.org/10.1016/j.scico.2013.08.013,null,J,no_arxiv,1
2014,Sci. of Comput. Program.,"Efficient static checker for tainted variable attacks.",UFMG; UFPE,Andrei Rimsa; Marcelo d'Amorim; Fernando Magno Quintão Pereira; Roberto da Silva Bigonha,https://doi.org/10.1016/j.scico.2013.03.012,null,J,no_arxiv,2
2014,Sci. of Comput. Program.,"From regexes to parsing expression grammars.",DCC/UFRJ; PUC-Rio,Sérgio Medeiros; Fabio Mascarenhas; Roberto Ierusalimschy,https://doi.org/10.1016/j.scico.2012.11.006,null,J,http://arxiv.org/abs/1210.4992v1,3
